epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1545.27,0.58261,0.38529,0.84566,0.99052,0.97792,0.99453,0.84913,0.57506,0.34022,0.83249,0.0014588,0.0014588,0.0014588
43,1581.88,0.57828,0.37698,0.84431,0.98068,0.98738,0.99425,0.85171,0.56278,0.34922,0.82905,0.0014456,0.0014456,0.0014456
44,1618.48,0.5788,0.37351,0.84099,0.98843,0.98423,0.99456,0.85693,0.56,0.34021,0.82823,0.0014324,0.0014324,0.0014324
45,1655.11,0.56846,0.37254,0.83711,0.99197,0.98107,0.99456,0.86014,0.56654,0.34452,0.82892,0.0014192,0.0014192,0.0014192
46,1691.89,0.55993,0.36244,0.84128,0.99681,0.98674,0.99469,0.84946,0.58137,0.34666,0.83418,0.001406,0.001406,0.001406
47,1728.57,0.55588,0.35966,0.83701,0.99406,0.97476,0.99433,0.84884,0.56931,0.33117,0.82753,0.0013928,0.0013928,0.0013928
48,1765.3,0.56224,0.36041,0.84614,0.98184,0.98423,0.99421,0.85104,0.57091,0.34758,0.82795,0.0013796,0.0013796,0.0013796
49,1802.01,0.56517,0.36189,0.84021,0.98658,0.98738,0.99392,0.85053,0.57234,0.34074,0.83328,0.0013664,0.0013664,0.0013664
50,1838.77,0.5589,0.35973,0.83846,0.99305,0.99054,0.9949,0.86255,0.5571,0.33893,0.82842,0.0013532,0.0013532,0.0013532
51,1875.48,0.56121,0.35404,0.83668,0.99118,0.97792,0.99438,0.8562,0.5556,0.33709,0.8284,0.00134,0.00134,0.00134
52,1912.31,0.53986,0.34596,0.83936,0.97796,0.97982,0.98937,0.85482,0.55448,0.3571,0.82078,0.0013268,0.0013268,0.0013268
53,1948.98,0.54661,0.35106,0.8389,0.99863,0.98423,0.9946,0.85359,0.5546,0.33548,0.82723,0.0013136,0.0013136,0.0013136
54,1985.59,0.56458,0.35664,0.84214,0.99053,0.99013,0.99484,0.85572,0.57885,0.32208,0.82628,0.0013004,0.0013004,0.0013004
55,2022.33,0.55069,0.34948,0.83911,0.98733,0.98327,0.99437,0.86297,0.55103,0.33823,0.82814,0.0012872,0.0012872,0.0012872
56,2059.16,0.53643,0.348,0.8317,0.99598,0.98423,0.99472,0.86481,0.53866,0.32145,0.82226,0.001274,0.001274,0.001274
57,2095.82,0.52409,0.34592,0.83218,0.99359,0.98107,0.9945,0.86506,0.54533,0.32489,0.82211,0.0012608,0.0012608,0.0012608
58,2132.4,0.54147,0.34089,0.83236,0.98733,0.98323,0.9942,0.86182,0.56758,0.33823,0.82481,0.0012476,0.0012476,0.0012476
59,2169.4,0.53355,0.34358,0.83408,0.98118,0.987,0.99465,0.84867,0.59231,0.33922,0.82595,0.0012344,0.0012344,0.0012344
60,2205.93,0.54044,0.33946,0.83612,0.99277,0.98107,0.99478,0.85107,0.55836,0.31816,0.82489,0.0012212,0.0012212,0.0012212
61,2242.57,0.52733,0.33536,0.82894,0.99049,0.98555,0.99478,0.86537,0.54598,0.30968,0.82771,0.001208,0.001208,0.001208
62,2279.4,0.51805,0.33549,0.83518,0.99042,0.97885,0.99418,0.85939,0.56181,0.3239,0.82797,0.0011948,0.0011948,0.0011948
63,2316.46,0.53488,0.34532,0.84005,0.99246,0.98107,0.99463,0.86454,0.5393,0.33305,0.82611,0.0011816,0.0011816,0.0011816
64,2353.16,0.52319,0.33838,0.8299,0.99361,0.98078,0.9944,0.86325,0.54072,0.30968,0.82275,0.0011684,0.0011684,0.0011684
65,2389.81,0.52145,0.32982,0.83326,0.98939,0.99054,0.99481,0.86488,0.54323,0.30741,0.822,0.0011552,0.0011552,0.0011552
66,2426.65,0.52839,0.33446,0.842,0.98757,0.99054,0.99478,0.85925,0.56343,0.31451,0.82729,0.001142,0.001142,0.001142
67,2463.6,0.50979,0.32306,0.83442,0.99215,0.98423,0.99468,0.8599,0.57711,0.31606,0.82793,0.0011288,0.0011288,0.0011288
68,2500.21,0.52158,0.33096,0.83105,0.9968,0.9815,0.99481,0.86349,0.54022,0.30808,0.82274,0.0011156,0.0011156,0.0011156
69,2536.72,0.50631,0.32072,0.8325,0.98065,0.98738,0.99447,0.86561,0.54196,0.30562,0.82359,0.0011024,0.0011024,0.0011024
70,2573.32,0.51477,0.32327,0.83064,0.99053,0.9899,0.99465,0.86057,0.53849,0.30996,0.82309,0.0010892,0.0010892,0.0010892
71,2610.22,0.50134,0.31877,0.828,0.98732,0.98423,0.99453,0.86279,0.54334,0.3075,0.82458,0.001076,0.001076,0.001076
72,2647.12,0.4985,0.31862,0.83022,0.99361,0.98738,0.9946,0.86287,0.53072,0.3117,0.82032,0.0010628,0.0010628,0.0010628
73,2683.92,0.50821,0.31799,0.83528,0.99681,0.98573,0.99478,0.85813,0.54309,0.29891,0.82215,0.0010496,0.0010496,0.0010496
74,2720.62,0.50277,0.32116,0.82947,0.9905,0.98651,0.99453,0.86241,0.54892,0.31128,0.82401,0.0010364,0.0010364,0.0010364
75,2757.17,0.51196,0.31932,0.82154,0.98975,0.98738,0.99452,0.86435,0.5416,0.30165,0.82626,0.0010232,0.0010232,0.0010232
